iter  precision  recall
1  0.000000  0.000000
2  0.000000  0.000000
3  0.000000  0.000000
4  0.000000  0.000000
5  0.000000  0.000000
6  0.000000  0.000000
7  0.000000  0.000000
8  0.000000  0.000000
9  0.000000  0.000000
10  0.000000  0.000000
11  0.000000  0.000000
12  0.000000  0.000000
13  0.000000  0.000000
14  0.000000  0.000000
15  0.000000  0.000000
16  0.000000  0.000000
17  0.000000  0.000000
18  0.000000  0.000000
19  0.000000  0.000000
20  0.000000  0.000000
21  0.000000  0.000000
22  0.000000  0.000000
23  0.043478  0.100000
24  0.041667  0.100000
25  0.040000  0.100000
26  0.038462  0.100000
27  0.037037  0.100000
28  0.035714  0.100000
29  0.034483  0.100000
30  0.033333  0.100000
31  0.032258  0.100000
32  0.031250  0.100000
33  0.030303  0.100000
34  0.029412  0.100000
35  0.028571  0.100000
36  0.027778  0.100000
37  0.027027  0.100000
38  0.026316  0.100000
39  0.025641  0.100000
40  0.025000  0.100000
41  0.024390  0.100000
42  0.023810  0.100000
43  0.046512  0.200000
44  0.068182  0.300000
45  0.066667  0.300000
46  0.065217  0.300000
47  0.063830  0.300000
48  0.062500  0.300000
49  0.081633  0.400000
50  0.080000  0.400000
51  0.078431  0.400000
52  0.076923  0.400000
53  0.075472  0.400000
54  0.074074  0.400000
55  0.072727  0.400000
56  0.089286  0.500000
57  0.087719  0.500000
58  0.086207  0.500000
59  0.084746  0.500000
60  0.083333  0.500000
61  0.081967  0.500000
62  0.080645  0.500000
63  0.095238  0.600000
64  0.109375  0.700000
65  0.123077  0.800000
66  0.121212  0.800000
67  0.119403  0.800000
68  0.132353  0.900000
69  0.130435  0.900000
70  0.128571  0.900000
71  0.126761  0.900000
